case,cleared,group,measure_actions,movement_time_s,post_search_time_s,search_time_s,source_count,time_per_source_s,total_time_s
1,14,C,141,4269.9375018473065,,,14,370.13842857142856,5181.938
1,14,C_reweighted,143,4180.686699049792,,,14,364.4776428571428,5102.687
1,14,C_completion_only,143,3922.9033353046398,,,14,346.0645,4844.903
1,14,C_coobserve_only,143,4138.887202116922,,,14,361.7062142857143,5063.887
1,14,Cplus,145,3598.1926650676164,,,14,323.94235714285713,4535.193
1,14,F_no_insertion,104,3820.668044463324,,,14,322.0477142857143,4508.668
1,14,F,105,3922.0752720518212,,,14,329.7910714285714,4617.075
1,14,I_normal,107,3718.7487938859413,2435.149759725712,1989.5992402742875,14,316.0535,4424.749
1,14,I_discovery_truth,70,3318.567076776662,,,14,271.96907142857145,3807.567
1,14,truth_after_search,,,1924.2172436997564,1989.5992402742875,14,279.55832028386027,3913.816483974044
1,14,truth_direct_centres,,,,,14,142.2272233097647,1991.1811263367058
1,14,truth_disk_lower_bound,,,,,14,134.51293759547897,1883.1811263367058
2,14,C,142,4415.360420649632,,,14,380.9542857142857,5333.36
2,14,C_reweighted,144,4388.433263916977,,,14,379.74521428571427,5316.433
2,14,C_completion_only,145,3745.9305083930376,,,14,334.20935714285713,4678.931
2,14,C_coobserve_only,145,4119.007830337119,,,14,361.0005714285714,5054.008
2,14,Cplus,144,3670.196315597013,,,14,328.6568571428571,4601.196
2,14,F_no_insertion,113,3520.871596795233,,,14,304.4908571428572,4262.872
2,14,F,106,3493.2477064212953,,,14,299.6605714285714,4195.248
2,14,I_normal,112,3388.902886414543,2077.847905915846,2049.0550940841545,14,294.77878571428573,4126.903
2,14,I_discovery_truth,85,3422.834468110062,,,14,285.8452857142857,4001.834
2,14,truth_after_search,,,1924.5016276830916,2049.0550940841545,14,283.82548012623187,3973.556721767246
2,14,truth_direct_centres,,,,,14,142.74611903659107,1998.4456665122748
2,14,truth_disk_lower_bound,,,,,14,135.03183332230535,1890.4456665122748
3,15,C,144,4154.643897171468,,,15,339.4429333333334,5091.644
3,15,C_reweighted,149,3840.745769153429,,,15,320.18306666666666,4802.746
3,15,C_completion_only,147,3496.2310209963352,,,15,296.5487333333333,4448.231
3,15,C_coobserve_only,146,3713.3331058287818,,,15,310.7555333333333,4661.333
3,15,Cplus,148,3275.0347504031092,,,15,282.40233333333333,4236.035
3,15,F_no_insertion,118,3842.4837538364227,,,15,307.89893333333333,4618.484
3,15,F,115,3690.592216028549,,,15,296.9061333333333,4453.592
3,15,I_normal,112,3509.8854977145397,2229.882048813504,2023.0029511864964,15,283.52566666666667,4252.885
3,15,I_discovery_truth,88,3255.289610655564,,,15,257.1526666666667,3857.29
3,15,truth_after_search,,,1918.5649299062065,2023.0029511864964,15,262.7711920728469,3941.567881092703
3,15,truth_direct_centres,,,,,15,123.69062438652598,1855.3593657978897
3,15,truth_disk_lower_bound,,,,,15,115.95729105319265,1739.3593657978897
4,15,C,136,4278.558109574782,,,15,344.37053333333336,5165.558
4,15,C_reweighted,138,4060.14096614091,,,15,330.47606666666667,4957.141
4,15,C_completion_only,137,3949.0391859847814,,,15,322.7359333333333,4841.039
4,15,C_coobserve_only,140,4044.4057991296163,,,15,330.2937333333333,4954.406
4,15,Cplus,135,3587.469689928809,,,15,298.03133333333335,4470.47
4,15,F_no_insertion,114,3491.7913368425156,,,15,282.98606666666666,4244.791
4,15,F,102,3495.0200622353527,,,15,278.668,4180.02
4,15,I_normal,100,3290.377252855845,1931.9886934161864,2031.3883065838136,15,264.2251333333333,3963.377
4,15,I_discovery_truth,70,3088.4610002698873,,,15,238.8307333333333,3582.461
4,15,truth_after_search,,,1857.8035607350253,2031.3883065838136,15,259.2794578212559,3889.191867318839
4,15,truth_direct_centres,,,,,15,120.22000091652146,1803.3000137478218
4,15,truth_disk_lower_bound,,,,,15,112.48666758318811,1687.3000137478216
5,13,C,140,4132.014958292854,,,13,387.2319230769231,5034.015
5,12,C_reweighted,154,4025.4379406244284,,,13,384.0336923076923,4992.438
5,13,C_completion_only,143,3584.9237867924,,,13,346.30184615384616,4501.924
5,13,C_coobserve_only,140,3627.450530580087,,,13,348.49623076923075,4530.451
5,13,Cplus,146,3309.815195752908,,,13,326.755,4247.815
5,13,F_no_insertion,114,3464.2005960573397,,,13,323.7846923076923,4209.201
5,13,F,120,3495.7331408066916,,,13,328.9794615384616,4276.733
5,13,I_normal,118,3320.919331795901,1965.250370327788,2124.668629672212,13,314.60915384615384,4089.919
5,13,I_discovery_truth,86,3141.1165673502474,,,13,286.23976923076924,3721.117
5,13,truth_after_search,,,1873.8069548799394,2124.668629672212,13,307.5750449655501,3998.4755845521513
5,13,truth_direct_centres,,,,,13,140.56334333719445,1827.323463383528
5,13,truth_disk_lower_bound,,,,,13,132.87103564488677,1727.323463383528
